==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Bretagne | Dept: 56 (Morbihan) | Circo: 3e circo | Maires concernés: 39
- Bretagne | Dept: 56 (Morbihan) | Circo: 4e circo | Maires concernés: 62
- Bretagne | Dept: 56 (Morbihan) | Circo: 5e circo | Maires concernés: 29
- Bretagne | Dept: 56 (Morbihan) | Circo: 6e circo | Maires concernés: 5
- Centre-Val-de-Loire | Dept: 18 (Cher) | Circo:  | Maires concernés: 1
- Centre-Val-de-Loire | Dept: 18 (Cher) | Circo: 1ere circo | Maires concernés: 123
- Centre-Val-de-Loire | Dept: 18 (Cher) | Circo: 2e circo | Maires concernés: 63
- Centre-Val-de-Loire | Dept: 18 (Cher) | Circo: 3e circo | Maires concernés: 83
- Centre-Val-de-Loire | Dept: 28 (Eure-et-Loir) | Circo: 1ere circo | Maires concernés: 84
- Centre-Val-de-Loire | Dept: 28 (Eure-et-Loir) | Circo: 2e circo | Maires concernés: 53
- Centre-Val-de-Loire | Dept: 28 (Eure-et-Loir) | Circo: 3e circo | Maires concernés: 131
- Centre-Val-de-Loire | Dept: 28 (Eure-et-Loir) | Circo: 4e circo | Maires concernés: 63
- Centre-Val-de-Loire | Dept: 36 (Indre) | Circo:  | Maires concernés: 1
- Centre-Val-de-Loire | Dept: 36 (Indre) | Circo: 1ere circo | Maires concernés: 83
- Centre-Val-de-Loire | Dept: 36 (Indre) | Circo: 2e circo | Maires concernés: 139
- Centre-Val-de-Loire | Dept: 37 (Indre-et-Loire) | Circo:  | Maires concernés: 1
- Centre-Val-de-Loire | Dept: 37 (Indre-et-Loire) | Circo: 1ere circo | Maires concernés: 68
- Centre-Val-de-Loire | Dept: 37 (Indre-et-Loire) | Circo: 2e circo | Maires concernés: 85
- Centre-Val-de-Loire | Dept: 37 (Indre-et-Loire) | Circo: 3e circo | Maires concernés: 45
- Centre-Val-de-Loire | Dept: 37 (Indre-et-Loire) | Circo: 4e circo | Maires concernés: 54
- Centre-Val-de-Loire | Dept: 41 (Loir-et-Cher) | Circo:  | Maires concernés: 1
- Centre-Val-de-Loire | Dept: 41 (Loir-et-Cher) | Circo: 1ere circo | Maires concernés: 75
- Centre-Val-de-Loire | Dept: 41 (Loir-et-Cher) | Circo: 2e circo | Maires concernés: 115
- Centre-Val-de-Loire | Dept: 41 (Loir-et-Cher) | Circo: 3e circo | Maires concernés: 50
- Centre-Val-de-Loire | Dept: 45 (Loiret) | Circo: 1ere circo | Maires concernés: 70
- Centre-Val-de-Loire | Dept: 45 (Loiret) | Circo: 2e circo | Maires concernés: 83
- Centre-Val-de-Loire | Dept: 45 (Loiret) | Circo: 3e circo | Maires concernés: 77
- Centre-Val-de-Loire | Dept: 45 (Loiret) | Circo: 4e circo | Maires concernés: 45
- Centre-Val-de-Loire | Dept: 45 (Loiret) | Circo: 5e circo | Maires concernés: 33
- Corse | Dept: 2A (Corse-du-Sud) | Circo:  | Maires concernés: 124
- Corse | Dept: 2B (Haute-Corse) | Circo:  | Maires concernés: 235
- Grand-Est | Dept: 08 (Ardennes) | Circo: 1ere circo | Maires concernés: 138
- Grand-Est | Dept: 08 (Ardennes) | Circo: 2e circo | Maires concernés: 142
- Grand-Est | Dept: 08 (Ardennes) | Circo: 3e circo | Maires concernés: 140
- Grand-Est | Dept: 10 (Aube) | Circo: 1ere circo | Maires concernés: 257
- Grand-Est | Dept: 10 (Aube) | Circo: 2e circo | Maires concernés: 111
- Grand-Est | Dept: 10 (Aube) | Circo: 3e circo | Maires concernés: 39
- Grand-Est | Dept: 51 (Marne) | Circo:  | Maires concernés: 8
- Grand-Est | Dept: 51 (Marne) | Circo: 1ere circo | Maires concernés: 101
- Grand-Est | Dept: 51 (Marne) | Circo: 2e circo | Maires concernés: 119
- Grand-Est | Dept: 51 (Marne) | Circo: 3e circo | Maires concernés: 120
